Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	Loss BEFORE	Loss AFTER	Max EpLen	learning rate
13.149300813674927	0	7.95546129374	4.68454843441	35.0	2.0	7.95546129374	4.68454843441	7502	7502	-0.0389705	-0.230356	1000	0.008
18.10533881187439	1	19.546875	12.9983128162	97.0	3.0	19.546875	12.9983128162	7506	15008	-0.0335986	0.0552427	1000	0.008
22.652507781982422	2	39.0466321244	20.962905841	111.0	8.0	39.0466321244	20.962905841	7536	22544	-0.0356896	-0.0222649	1000	0.008
27.27804732322693	3	47.6835443038	22.0414134398	117.0	11.0	47.6835443038	22.0414134398	7534	30078	-0.0324526	-0.0296428	1000	0.008
31.752772092819214	4	60.5080645161	30.5805377618	221.0	6.0	60.5080645161	30.5805377618	7503	37581	-0.0242994	-0.0242987	1000	0.008
36.47956919670105	5	56.7218045113	28.115859486	162.0	11.0	56.7218045113	28.115859486	7544	45125	-0.0190238	-0.0189114	1000	0.008
41.07986640930176	6	54.5	30.0856868083	158.0	10.0	54.5	30.0856868083	7521	52646	-0.0245605	-0.0373798	1000	0.008
45.70817565917969	7	66.7345132743	34.834378731	229.0	13.0	66.7345132743	34.834378731	7541	60187	-0.00820783	-0.00757221	1000	0.008
50.350027322769165	8	95.9493670886	50.6314303581	281.0	13.0	95.9493670886	50.6314303581	7580	67767	-0.0167889	-0.021363	1000	0.008
54.83503556251526	9	116.276923077	67.1302998635	317.0	19.0	116.276923077	67.1302998635	7558	75325	-0.0134021	-0.0116329	1000	0.008
66.9321391582489	10	137.963636364	66.9317056644	394.0	45.0	137.963636364	66.9317056644	7588	82913	0.00110515	-0.00143437	1000	0.008
71.47240829467773	11	136.836363636	53.4231014505	278.0	24.0	136.836363636	53.4231014505	7526	90439	-0.0334387	-0.0359258	1000	0.008
76.02647066116333	12	159.936170213	56.221221198	328.0	59.0	159.936170213	56.221221198	7517	97956	-0.00840095	-0.00868531	1000	0.008
80.74315404891968	13	155.04	57.7819902738	307.0	62.0	155.04	57.7819902738	7752	105708	-0.00986942	-0.0122091	1000	0.008
85.60636878013611	14	158.604166667	64.9707432822	356.0	45.0	158.604166667	64.9707432822	7613	113321	0.00426019	0.00300129	1000	0.008
89.96498012542725	15	185.390243902	83.6761696556	417.0	30.0	185.390243902	83.6761696556	7601	120922	-0.000745682	-0.00391098	1000	0.008
