Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar	Loss BEFORE	Loss AFTER	Max EpLen	learning rate
14.63002872467041	0	7.97077577046	4.277650732	38.0	3.0	7.97077577046	4.277650732	15001	15001	-0.0476873	-0.0476873	1000	0.008
22.534926414489746	1	23.4087363495	13.9483620383	81.0	4.0	23.4087363495	13.9483620383	15005	30006	-0.013587	-0.013587	1000	0.008
30.689486265182495	2	45.5363636364	19.2728466263	129.0	10.0	45.5363636364	19.2728466263	15027	45033	-0.0056105	-0.0056105	1000	0.008
38.1001033782959	3	47.6984126984	21.9174750317	161.0	11.0	47.6984126984	21.9174750317	15025	60058	-0.0118018	-0.0118018	1000	0.008
45.75413155555725	4	43.1522988506	22.4540992956	145.0	9.0	43.1522988506	22.4540992956	15017	75075	-0.0114472	-0.0114472	1000	0.008
53.52315640449524	5	34.9488372093	19.1039308276	102.0	6.0	34.9488372093	19.1039308276	15028	90103	-0.0172498	-0.0172498	1000	0.008
61.139596462249756	6	34.1363636364	18.8364864861	130.0	7.0	34.1363636364	18.8364864861	15020	105123	-0.0106241	-0.0106241	1000	0.008
68.59644508361816	7	37.4129353234	18.5353939182	165.0	9.0	37.4129353234	18.5353939182	15040	120163	-0.0156009	-0.0156009	1000	0.008
76.07441759109497	8	40.418230563	20.5180072636	136.0	6.0	40.418230563	20.5180072636	15076	135239	-0.00648918	-0.00648918	1000	0.008
83.537757396698	9	50.5454545455	28.5746489068	224.0	10.0	50.5454545455	28.5746489068	15012	150251	-0.0144943	-0.0144943	1000	0.008
91.03008198738098	10	67.0758928571	33.6224912647	178.0	9.0	67.0758928571	33.6224912647	15025	165276	-0.00475932	-0.00475932	1000	0.008
98.29956769943237	11	95.0253164557	41.5900653557	226.0	12.0	95.0253164557	41.5900653557	15014	180290	-0.00566817	-0.00566817	1000	0.008
105.43772745132446	12	112.842105263	45.8449236463	304.0	21.0	112.842105263	45.8449236463	15008	195298	-0.0067953	-0.0067953	1000	0.008
112.70691680908203	13	135.855855856	51.0260217746	311.0	25.0	135.855855856	51.0260217746	15080	210378	-0.00735584	-0.00735583	1000	0.008
119.90295052528381	14	153.755102041	63.7941621705	390.0	30.0	153.755102041	63.7941621705	15068	225446	-0.00985263	-0.00985263	1000	0.008
127.01421236991882	15	151.848484848	55.9699348652	337.0	32.0	151.848484848	55.9699348652	15033	240479	-0.00744192	-0.00744193	1000	0.004
134.2806282043457	16	139.851851852	47.5838080955	318.0	47.0	139.851851852	47.5838080955	15104	255583	-0.00905386	-0.00905386	1000	0.004
141.31536030769348	17	147.558823529	59.9780308684	343.0	30.0	147.558823529	59.9780308684	15051	270634	-0.00116868	-0.00116868	1000	0.004
148.52251958847046	18	144.557692308	58.4361628885	356.0	23.0	144.557692308	58.4361628885	15034	285668	-0.0123822	-0.0123822	1000	0.004
156.14751315116882	19	152.03	62.7976838745	327.0	31.0	152.03	62.7976838745	15203	300871	-0.00855622	-0.00855622	1000	0.004
163.37574577331543	20	170.647727273	69.874081515	351.0	32.0	170.647727273	69.874081515	15017	315888	-0.00540096	-0.00540096	1000	0.004
170.84361600875854	21	176.670588235	70.1915678253	365.0	32.0	176.670588235	70.1915678253	15017	330905	-0.0131902	-0.0131902	1000	0.004
